"","timestamp","item_id","position","click","propensity_score"
"1","2019-11-24 00:00:01.856987+00:00",8,2,0,0.0125
"2","2019-11-24 00:00:03.956048+00:00",8,2,0,0.0125
"3","2019-11-24 00:00:09.531376+00:00",8,2,0,0.0125
"4","2019-11-24 00:00:12.121664+00:00",1,3,0,0.0125
"5","2019-11-24 00:00:14.563109+00:00",1,3,0,0.0125
"6","2019-11-24 00:00:14.741181+00:00",1,3,0,0.0125
"7","2019-11-24 00:00:15.505020+00:00",8,2,0,0.0125
"8","2019-11-24 00:00:15.568476+00:00",8,3,0,0.0125
"9","2019-11-24 00:00:20.227922+00:00",1,3,0,0.0125
"10","2019-11-24 00:00:22.468619+00:00",1,3,0,0.0125
"11","2019-11-24 00:00:26.408109+00:00",1,3,0,0.0125
"12","2019-11-24 00:00:30.684196+00:00",1,3,0,0.0125
"13","2019-11-24 00:00:35.516589+00:00",1,3,0,0.0125
"14","2019-11-24 00:00:37.141116+00:00",1,3,0,0.0125
"15","2019-11-24 00:00:37.568560+00:00",1,3,0,0.0125
"16","2019-11-24 00:00:56.809325+00:00",1,3,0,0.0125
"17","2019-11-24 00:01:14.796063+00:00",1,3,0,0.0125
"18","2019-11-24 00:01:18.895619+00:00",1,3,0,0.0125
"19","2019-11-24 00:01:19.698446+00:00",1,3,0,0.0125
"20","2019-11-24 00:01:21.373362+00:00",7,1,0,0.0125
"21","2019-11-24 00:01:21.518210+00:00",7,1,0,0.0125
"22","2019-11-24 00:01:23.125354+00:00",1,3,0,0.0125
"23","2019-11-24 00:01:25.700890+00:00",1,3,0,0.0125
"24","2019-11-24 00:01:27.038775+00:00",1,3,0,0.0125
"25","2019-11-24 00:01:28.170722+00:00",1,3,0,0.0125
"26","2019-11-24 00:01:29.717111+00:00",2,3,0,0.0125
"27","2019-11-24 00:01:29.950218+00:00",1,3,0,0.0125
"28","2019-11-24 00:01:30.288682+00:00",2,3,0,0.0125
"29","2019-11-24 00:01:30.650567+00:00",7,1,0,0.0125
"30","2019-11-24 00:01:32.999160+00:00",7,1,0,0.0125
"31","2019-11-24 00:01:35.985555+00:00",7,1,0,0.0125
"32","2019-11-24 00:01:39.271585+00:00",7,1,0,0.0125
"33","2019-11-24 00:01:40.094896+00:00",2,3,0,0.0125
"34","2019-11-24 00:01:40.315210+00:00",2,3,0,0.0125
"35","2019-11-24 00:01:44.607475+00:00",9,3,0,0.0125
"36","2019-11-24 00:01:44.681444+00:00",9,3,0,0.0125
"37","2019-11-24 00:01:45.513092+00:00",9,3,0,0.0125
"38","2019-11-24 00:01:47.551371+00:00",9,3,0,0.0125
"39","2019-11-24 00:01:54.060461+00:00",2,3,0,0.0125
"40","2019-11-24 00:01:59.560571+00:00",2,3,0,0.0125
"41","2019-11-24 00:02:00.276969+00:00",9,3,0,0.0125
"42","2019-11-24 00:02:01.205097+00:00",9,3,0,0.0125
"43","2019-11-24 00:02:17.189497+00:00",8,3,0,0.0125
"44","2019-11-24 00:02:18.711979+00:00",8,3,0,0.0125
"45","2019-11-24 00:02:21.509967+00:00",8,3,0,0.0125
"46","2019-11-24 00:02:24.843673+00:00",9,3,0,0.0125
"47","2019-11-24 00:02:29.203896+00:00",8,3,0,0.0125
"48","2019-11-24 00:02:31.087927+00:00",8,3,0,0.0125
"49","2019-11-24 00:02:32.485044+00:00",8,3,0,0.0125
"50","2019-11-24 00:02:34.789644+00:00",8,3,0,0.0125
"51","2019-11-24 00:02:38.110576+00:00",8,3,0,0.0125
"52","2019-11-24 00:02:47.652533+00:00",6,1,0,0.0125
"53","2019-11-24 00:02:48.840160+00:00",6,1,0,0.0125
"54","2019-11-24 00:02:50.636937+00:00",4,1,0,0.0125
"55","2019-11-24 00:02:52.396939+00:00",4,1,0,0.0125
"56","2019-11-24 00:02:52.545345+00:00",4,1,0,0.0125
"57","2019-11-24 00:02:52.786134+00:00",4,1,0,0.0125
"58","2019-11-24 00:02:56.138219+00:00",4,1,0,0.0125
"59","2019-11-24 00:02:56.406990+00:00",6,1,0,0.0125
"60","2019-11-24 00:02:58.364441+00:00",4,1,0,0.0125
"61","2019-11-24 00:03:00.690120+00:00",4,1,0,0.0125
"62","2019-11-24 00:03:02.097097+00:00",6,1,0,0.0125
"63","2019-11-24 00:03:02.128951+00:00",6,1,0,0.0125
"64","2019-11-24 00:03:02.428656+00:00",6,1,0,0.0125
"65","2019-11-24 00:03:02.917558+00:00",4,1,0,0.0125
"66","2019-11-24 00:03:03.253257+00:00",6,1,0,0.0125
